IT Tower,Service Family,Service Type,Service Sub Type,Service Usage Type,Product Code,Usage Type,[lineItem/Operation],lineItem/LineItemDescription
Compute,Compute,Amazon Elastic Compute Cloud,Instances,BoxUsage,AmazonEC2,%BoxUsage%,,
Compute,Compute,Amazon Elastic Compute Cloud,Additional Costs,Tax,AmazonEC2,,,Tax%
Compute,Compute,Amazon Elastic Compute Cloud,Instances,Dedicated Instances,AmazonEC2,%DedicatedUsage%,,
Compute,Compute,Amazon Elastic Compute Cloud,Dedicated Host,Host Usage,AmazonEC2,%HostUsage%,,
Compute,Compute,Amazon Elastic Compute Cloud,Instances,GPU Instances,AmazonEC2,%EGpuUsage%,,
Compute,Compute,Amazon Elastic Compute Cloud,Elastic Load Balancing,Load Balancer Usage,AmazonEC2,%LoadBalancerUsage,,
Compute,Compute,Amazon Elastic Compute Cloud,Elastic IP,Idle Address,AmazonEC2,%ElasticIP:IdleAddress,,
Compute,Compute,Amazon Elastic Compute Cloud,Elastic IP,Remap,AmazonEC2,%ElasticIP:Remap,,
Compute,Compute,Amazon Elastic Compute Cloud,Data Processing,Data Processing (Bytes),AmazonEC2,%DataProcessing-Bytes,,
Compute,Compute,Amazon Elastic Compute Cloud,CloudWatch,Alarm Monitor,AmazonEC2,%CW:AlarmMonitorUsage,,
Compute,Compute,Amazon Elastic Compute Cloud,CloudWatch,Metric Monitor,AmazonEC2,%CW:MetricMonitorUsage,,
Compute,Compute,Amazon Elastic Compute Cloud,CloudWatch,Requests,AmazonEC2,%CW:Requests,,
Database,Database,Amazon DynamoDB Accelerator,Resource Usage,Node Usage,AmazonDAX,%NodeUsage%,,
Database,Database,Amazon DynamoDB,Additional Costs,Tax,AmazonDynamoDB,,,Tax%
Database,Database,Amazon DynamoDB,Capacity Unit,Write Capacity Unit (Hours),AmazonDynamoDB,%WriteCapacityUnit-Hrs,,
Database,Database,Amazon DynamoDB,Capacity Unit,Read Capacity Unit (Hours),AmazonDynamoDB,%ReadCapacityUnit-Hrs,,
Database,Database,Amazon DynamoDB,Storage,Data Size Restoration (Bytes),AmazonDynamoDB,%RestoreDataSize-Bytes,,
Database,Database,Amazon DynamoDB,Streams,Streams Requests,AmazonDynamoDB,%Streams-Requests,,
Migration & Transfer,Migration,AWS Database Migration Service,Additional Costs,Tax,AWSDatabaseMigrationSvc,,,Tax%
Migration & Transfer,Migration,AWS Database Migration Service,Database Migration,DMS usage,AWSDatabaseMigrationSvc,%Usg:dms%,,
Migration & Transfer,Migration,AWS Database Migration Service,Storage,Amazon EBS General Purpose SSD (gp2) usage,AWSDatabaseMigrationSvc,%DMS:GP2-Storage,,
Migration & Transfer,Migration,AWS Database Migration Service,Storage,Multi-AZ deployment,AWSDatabaseMigrationSvc,%DMS:Multi-AZ-GP2-Storage,,
Cloud Services,Web & Mobile Services,AWS Device Farm,Device Testing,Windows-Chrome Testing,AWSDeviceFarm,%Windows-Chrome%,,
Cloud Services,Web & Mobile Services,AWS Device Farm,Device Testing,iOS Device Testing,AWSDeviceFarm,%iOS-Device%,,
Cloud Services,Web & Mobile Services,AWS Device Farm,Remote Access,iOS Remote Access,AWSDeviceFarm,%iOS-RA%,,
Cloud Services,Web & Mobile Services,AWS Device Farm,Device Testing,Android Device Testing,AWSDeviceFarm,%Android-Device%,,
Cloud Services,Web & Mobile Services,AWS Device Farm,Remote Access,Android Remote Access,AWSDeviceFarm,%Android-RA%,,
Cloud Services,Internet of things,Amazon IoT Device Management,Device Management,Indexed data,IoTDeviceManagement,%IndexedData,,
Networking,Networking,AWS Partner Network,Additional Costs,Tax,APNFee,,,Tax%
Networking,Networking,AWS Partner Network,Partner Network Fee,Purchase,APNFee,,,
Compute,Machine learning,Amazon Translate,Translate Text,Text Translation,translate,%TranslateText,,
Compute,Machine learning,Amazon Transcribe,Streaming Audio,Audio Streaming,transcribe,%StreamingAudio,%StreamingAudio,
Compute,Machine learning,Amazon Transcribe,Transcribe Audio,Transcription,transcribe,%TranscribeAudio,TranscribeAudio,
Cloud Services,Security and Identity,Amazon Cloud Hardware Security Module,Cloud Hardware Security Module,HSM Usage (Service Fees),CloudHSM,%CloudHSM%,,
Cloud Services,Developer Tools,Amazon CodeBuild,CodeBuild,Build Duration,CodeBuild,,,
Compute,Machine learning,Amazon Comprehend,Comprehend,Text Analysis,comprehend,,,
Compute,Machine learning,Amazon Comprehend Medical,Comprehend Medical,Text Analysis,comprehendmedical,,,
Storage,Storage,Amazon Backup,Cold Storage Support,Remaining Costs Fee,AWSBackup,%EarlyDelete-Cold%,,
Storage,Storage,Amazon Backup,Cold Storage Support,Restore Backup,AWSBackup,%Restore-Cold%,,
Storage,Storage,Amazon Backup,Cold Storage Support,Storage Use,AWSBackup,%ColdStorage%,,
Storage,Storage,Amazon Backup,Warm Storage Support,Restore Backup,AWSBackup,%Restore-Warm%,,
Storage,Storage,Amazon Backup,Warm Storage Support,Storage Use,AWSBackup,%WarmStorage%,,